2015-12-31T18:24:05.574+0200 W -        [initandlisten] Detected unclean shutdown - C:\Users\baris\Desktop\swe573\swe573\mongodb\data\mongod.lock is not empty.
2015-12-31T19:45:05.731+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:46:05.741+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:47:05.728+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:48:05.730+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:49:05.733+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:50:05.732+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:51:05.736+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:52:05.735+0200 I COMMAND  [DataFileSync] flushing diag log
2015-12-31T19:53:05.738+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:14:37.780+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:15:37.775+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:16:37.776+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:17:37.778+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:18:37.795+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:19:37.783+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:20:37.815+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:21:37.780+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:22:37.789+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:23:37.785+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:24:37.786+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:25:37.784+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:26:37.794+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:27:37.787+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:28:37.788+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:29:37.792+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:30:37.793+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:31:37.797+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:32:37.798+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:33:37.798+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:34:37.799+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:35:37.804+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:36:37.809+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:43:54.307+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:44:54.301+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:45:54.310+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:46:54.305+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:58:43.370+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T20:59:43.364+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:00:43.380+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:01:43.372+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:02:43.367+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:03:43.369+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:04:43.370+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:05:43.369+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:06:43.370+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:07:43.374+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:08:43.373+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:09:43.375+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:10:43.383+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:11:43.377+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:12:43.380+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:13:43.392+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:14:43.382+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:15:43.386+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:16:43.388+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:17:43.394+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:18:43.388+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:19:43.391+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:20:43.390+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:21:43.399+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:22:43.400+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:23:43.390+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:24:43.396+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:25:43.397+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:26:43.401+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:27:43.412+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:28:43.409+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:29:43.403+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:30:43.405+0200 I COMMAND  [DataFileSync] flushing diag log
2016-01-01T21:31:43.434+0200 I COMMAND  [DataFileSync] flushing diag log
